0.8726,49,-3.7571
10.053,49,0.83754
5.998,100,3.4859
5.296,100,-0.42376
-8.2075,64,0.77068
0.46647,9,-0.62458
-12.447,100,-5.5818
31.34,25,11.649
-2.8324,9,0.019386
39.327,49,12.623
-6.8821,1,-3.4511
-0.12634,1,-0.28592
-8.1894,4,-5.5442
-3.2472,9,-3.278
4.0135,64,5.5102
4.9815,25,4.7788
-14.988,81,-3.3774
7.8086,16,1.7548
-3.6252,81,-1.202
6.7188,64,5.1382
-5.1981,36,-2.8466
19.629,4,8.7789
-14.457,36,-6.7518
6.4539,25,2.4537
-22.392,16,-6.5651
-5.9241,1,-2.6283
-11.956,9,-4.378
14.932,16,8.7441
-2.6731,16,0.1874
4.414,4,2.6291
-14.384,16,-6.2095
-5.6275,9,-3.8004
18.401,81,2.7379
-5.1713,16,0.48441
24.382,81,4.3032
17.42,9,6.7856
-6.4448,64,-3.5969
3.3554,49,-3.8526
6.8058,1,3.2805
-7.3702,64,0.39592
3.2568,1,1.0645
8.7716,49,-3.4278
-14.454,81,-3.7429
1.4607,25,3.234
25.57,49,8.8007
-1.6089,36,-0.73258
8.9902,9,6.5408
25.588,64,7.8486
12.258,9,6.36
9.2121,100,8.5821
3.8431,9,2.7939
-17.128,36,-7.0712
-2.488,16,-3.1188
-3.0128,9,0.2272
-9.7041,36,-6.2597
-1.2332,4,-1.621
13.027,4,7.3735
-5.4703,1,-2.9024
-2.5841,16,2.0149
11.085,81,2.4064
13.719,36,10.226
6.739,81,-0.25912
12.789,100,4.2268
-11.959,16,-5.1567
-11.211,9,-3.3857
13.255,36,2.6327
7.8543,16,3.6218
12.374,81,-1.3608
4.773,9,2.3737
-20.733,81,-2.3637
17.883,36,3.8712
-7.3546,64,-2.5117
8.2106,16,2.2565
4.8019,1,2.7621
17.552,4,8.1644
-4.0846,36,-4.5473
5.1507,1,2.0688
-12.27,36,-7.632
3.1459,9,1.6342
10.854,49,4.9216
-5.9507,81,-4.3359
-0.78991,1,-0.025722
16.488,16,7.1431
13.236,25,9.2789
0.11511,1,1.0102
17.025,1,8.4291
0.6122,1,0.20724
-4.532,100,-3.3697
18.69,100,0.4808
-10.494,16,-7.713
1.1926,16,-3.1313
-2.8901,36,-2.1061
23.053,64,7.8921
-0.50381,64,2.1128
20.363,81,11.221
-7.5308,64,3.2257
5.6062,1,2.7682
9.0325,100,-0.11866
-7.9736,1,-3.4577
3.4722,1,1.8474
-7.554,64,-0.88069
-18.423,36,-6.7863
12.564,36,3.5747
0.75369,36,0.17504
5.3596,1,2.31
-2.0136,9,-1.602
10.726,4,4.427
-26.557,100,-1.9927
4.5357,1,2.7789
8.51,1,4.341
3.1819,49,0.37325
-2.61,16,-3.6018
3.1072,4,2.1932
8.5373,49,6.386
-22.062,64,-9.8902
9.397,81,1.57
3.7307,9,1.7057
11.128,25,2.7498
-5.6464,25,-0.89338
8.2597,49,2.6909
-0.44338,64,-1.7704
